"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"69",9180,7474,"North-Central Interior Freshwater Marsh",9180,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",91,195,199,0.356863,0.764706,0.780392,1662,0
"70",9182,15,"North-Central Interior Shrub Alkaline Fen",9182,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,3,0
"71",9183,11135,"North-Central Interior Shrub Swamp",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,2476,0
"72",9202,29810,"Northern Great Lakes Coastal Marsh",9202,2492,"He Great Lakes Coastal Marsh Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,6630,0.1
"73",9203,6609,"Northern Great Lakes Interdunal Wetland",9203,2492,"He Great Lakes Coastal Marsh Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,1470,0
"74",9295,171,"Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest",9088,2544,"Tr Boreal Jack Pine-Black Spruce-Hardwood Forest","Tree","Conifer-Hardwood",676,"Jack Pine Forest","SAF 1: Jack Pine","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",174,245,224,0.682353,0.960784,0.878431,38,0
"75",9312,2000169,"Northeastern North American Temperate Forest Plantation",9312,2562,"Tr Northeastern North American Temperate Forest Plantation","Tree","Conifer",731,"Managed Tree Plantation","LF 61: Managed Tree Plantation","Tree-dominated","Open Tree Canopy","Evergreen open tree canopy",158,67,14,0.619608,0.262745,0.054902,444827,4.2
"76",9314,25104,"Northern & Central Native Ruderal Flooded & Swamp Forest",9314,2565,"Tr Northern & Central Native Ruderal Flooded & Swamp Forest","Tree","Riparian",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",255,105,46,1,0.411765,0.180392,5583,0.1
"77",9315,557041,"Northern & Central Native Ruderal Forest",9315,2566,"Tr Northern & Central Native Ruderal Forest","Tree","Conifer-Hardwood",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",255,105,46,1,0.411765,0.180392,123883,1.2
"78",9317,100542,"Northern & Central Ruderal Shrubland",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Deciduous shrubland",255,105,46,1,0.411765,0.180392,22360,0.2
"79",9318,9399,"Northern & Central Ruderal Wet Meadow & Marsh",9318,2569,"He Northern & Central Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,2090,0
"80",9601,9219,"Great Lakes Dune Grassland",9101,2251,"He Great Lakes Dune Grassland","Herb","Grassland",654,"Atlantic Dunes and Grasslands","LF 57: Dunes and Maritime Grasslands","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,98,41,1,0.384314,0.160784,2050,0
"81",9617,13092,"Laurentian-Acadian Floodplain Shrubland",9117,2475,"Tr Laurentian-Acadian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",50,137,168,0.196078,0.537255,0.658824,2912,0
"82",9620,119318,"Laurentian-Acadian Shrub Swamp",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,26536,0.3
"83",9677,31,"North-Central Interior and Appalachian Acidic Peatland Shrubland",9177,2479,"Tr Central Interior and Appalachian Swamp Systems","Shrub","Riparian",694,"Atlantic Swamp Forests","SAF 61: River Birch-Sycamore","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",0,92,0,0,0.360784,0,7,0
"84",9679,38,"North-Central Interior Floodplain Shrubland",9179,2471,"Tr Central Interior and Appalachian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",0,92,0,0,0.360784,0,8,0
"85",9682,69,"North-Central Interior Graminoid Alkaline Fen",9182,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",91,195,199,0.356863,0.764706,0.780392,15,0
"86",9683,14111,"North-Central Interior Wet Meadow",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",91,195,199,0.356863,0.764706,0.780392,3138,0
"87",9817,1035586,"Northern & Central Ruderal Meadow",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Herb","Exotic Herbaceous",703,"Introduced Perennial Grassland and Forbland","LF 54: Introduced Upland Vegetation - Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,230309,2.2
