"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","LABEL.x","LABEL.y","BPS_CODE","ZONE","total_count","currentPercent"
"41","13130_47_50_51_C","13130_47_50_51","C",14,"North-Central Interior Beech-Maple Forest",1619,3,43256,"C","C",13130,51,727594,5
"42","13130_47_50_51_D","13130_47_50_51","D",69,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","13130_47_50_51_E","13130_47_50_51","E",NA,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","13130_47_50_51_Agriculture","13130_47_50_51","Agriculture",0,"North-Central Interior Beech-Maple Forest",1619,180,481906,"Agriculture","Agriculture",13130,51,727594,66
"45","13130_47_50_51_Developed","13130_47_50_51","Developed",0,"North-Central Interior Beech-Maple Forest",1619,120,169080,"Developed","Developed",13130,51,727594,23
"46","13130_47_50_51_Water","13130_47_50_51","Water",0,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","13130_47_50_51_UN","13130_47_50_51","UN",0,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","13130_47_50_51_UE","13130_47_50_51","UE",0,"North-Central Interior Beech-Maple Forest",1619,7,30542,"UE","UE",13130,51,727594,4
"49","13441_51_A","13441_51","A",35,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,1,1403,"A","A",13441,51,1400673,0
"50","13441_51_B","13441_51","B",15,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,2,807,"B","B",13441,51,1400673,0
"51","13441_51_C","13441_51","C",31,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,3,89048,"C","C",13441,51,1400673,6
"52","13441_51_D","13441_51","D",19,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,4,958266,"D","D",13441,51,1400673,68
"53","13441_51_E","13441_51","E",NA,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","13441_51_Agriculture","13441_51","Agriculture",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,180,22081,"Agriculture","Agriculture",13441,51,1400673,1
"55","13441_51_Developed","13441_51","Developed",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,120,167696,"Developed","Developed",13441,51,1400673,11
"56","13441_51_Water","13441_51","Water",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","13441_51_UN","13441_51","UN",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,6,35767,"UN","UN",13441,51,1400673,2
"58","13441_51_UE","13441_51","UE",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,7,125605,"UE","UE",13441,51,1400673,8
"59","13442_51_A","13442_51","A",31,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,1,4,"A","A",13442,51,36879,0
"60","13442_51_B","13442_51","B",34,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,2,474,"B","B",13442,51,36879,1
"61","13442_51_C","13442_51","C",25,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,3,12025,"C","C",13442,51,36879,32
"62","13442_51_D","13442_51","D",10,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","13442_51_E","13442_51","E",NA,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","13442_51_Agriculture","13442_51","Agriculture",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,180,3091,"Agriculture","Agriculture",13442,51,36879,8
"65","13442_51_Developed","13442_51","Developed",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,120,4736,"Developed","Developed",13442,51,36879,12
"66","13442_51_Water","13442_51","Water",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","13442_51_UN","13442_51","UN",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,6,12506,"UN","UN",13442,51,36879,33
"68","13442_51_UE","13442_51","UE",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,7,4043,"UE","UE",13442,51,36879,10
